param,value,min_us,max_us,avg_us,median_us,p90_us,p99_us,num_samples
tput,1000,861.51,560527.71,7432.71,1049.12,1411.54,312015.19,29994
tput,2000,875.03,9623.55,1159.34,1094.25,1387.48,2073.54,59980
