param,value,min_us,max_us,avg_us,median_us,p90_us,p99_us,num_samples
size_kb,1,276.79,4547.68,373.55,355.55,408.49,771.24,119996
size_kb,2,297.94,5375.05,392.92,373.68,431.8,795.04,119995
size_kb,4,318.0,2315.84,419.03,397.96,468.45,826.08,119996
size_kb,8,348.37,5101.61,460.45,434.66,531.47,894.3,119995
size_kb,16,379.15,4839.8,543.81,509.36,674.5,1025.96,119996
size_kb,32,643.89,8109.82,970.04,928.71,1160.42,1759.11,119995
size_kb,64,814.67,7731.73,1202.21,1135.09,1502.31,2163.57,119996
size_kb,128,1093.29,10309.28,1669.91,1555.21,2175.33,3037.46,119996
