param,value,min_us,max_us,avg_us,median_us,p90_us,p99_us,num_samples
tput,1000,894.56,3478.19,1273.35,1240.41,1483.56,2086.69,29994
tput,2000,877.18,8542.26,1280.54,1229.71,1550.41,2201.28,59978
tput,3000,887.96,8561.22,1307.8,1236.29,1660.73,2338.58,89986
tput,4000,880.51,10933.35,1333.82,1240.39,1764.45,2444.21,119995
tput,5000,869.9,12718.84,1367.46,1255.31,1871.7,2511.78,149991
tput,6000,873.41,10924.16,1458.5,1316.62,2033.98,2654.29,180006
tput,7000,889.35,15388.88,2063.14,1848.22,3096.62,5780.26,210016
