param,value,min_us,max_us,avg_us,median_us,p90_us,p99_us,num_samples
tput,1000,800.56,3409.02,1128.64,1077.32,1380.1,1977.26,29995
tput,2000,795.06,6119.75,1175.66,1119.63,1459.09,2038.29,59979
tput,3000,803.14,9016.58,1198.36,1137.36,1489.27,2127.47,89986
tput,4000,808.13,9639.0,1213.63,1141.22,1533.78,2223.3,119995
tput,5000,803.77,10363.24,1238.94,1146.89,1618.85,2386.52,149990
tput,6000,799.06,9969.79,1292.52,1174.9,1770.5,2545.91,180005
tput,7000,808.84,11715.94,1472.66,1321.8,2089.74,3007.42,210015
tput,8000,4730.96,6526714.24,2938369.49,2703480.46,5979287.42,6488739.4,240019
